golden_id,dyad_id,target_tweet_id,target_text,prior_context,subsequent_customer_context,rule_hint,human_intent,human_secondary_intent,human_confidence,human_notes,taxonomy_issue,adjudication_status
G059,VT-538266-244797,538268,@VirginTrains spent 35mins waiting for live chat for ‘Levi’ to disconnect me without confirming what he was doing. 8 minutes between replies. Absolutely useless especially with a complaint already outstanding. Good one Levi 😐,,[C Sat Dec 02 14:24:55 +0000 2017] @VirginTrains ONLY BY EMAIL. as I’ve asked about 7 times.,general_feedback,general_feedback,,medium,"[ADJUDICATED] Support-channel vent, no new actionable ask.",none,adjudicated
G060,VT-703533-288073,703535,Not a single explanation for cancelling the 520pm train from Birmingham International to London Euston. Great job @VirginTrains #useless,,[C Thu Nov 23 17:31:24 +0000 2017] @VirginTrains Now standing in the overcrowded 5pm service which is running 30min late. @VirginTrains,general_feedback,cancellation_status,,medium,"[ADJUDICATED] Sarcastic cancellation report, no ask.",none,adjudicated
G061,VT-1122428-139752,1122434,"@VirginTrains London, and the WiFi isn't working in First Class. 👌🏾",,"[C Tue Oct 24 07:51:58 +0000 2017] @VirginTrains Connection. Can't get to the home page. || [C Tue Oct 24 08:00:54 +0000 2017] @VirginTrains Nice one, that worked. 👍🏾",onboard_experience,onboard_experience,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G062,VT-1220377-406329,1220379,@VirginTrains I need to connect to wifi but there's to page for me to pay for it?! :(,,[C Wed Oct 25 15:19:09 +0000 2017] @VirginTrains Thank you :) done it but now can't log in on my laptop just my phone 😭 || [C Wed Oct 25 15:24:35 +0000 2017] @VirginTrains I don't want to use both. Just my laptop wifi. But I had to buy to wifi through my phone as laptop wouldn't connect. Now it still won't :( || [C Wed Oct 25 15:34:05 +0000 2017] @VirginTrains So I paid £5 for nothing then. It says you can log in and log off. Doesn't say anything about not being able to transfer from device,onboard_experience,onboard_experience,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G063,VT-1577170-165354,1577172,"@VirginTrains after being told to shut up three times when collecting tickets, I'm further impressed by your onboard wifi not working.",,[C Tue Oct 17 06:59:10 +0000 2017] @VirginTrains More information around Angelica at London Euston at 6:45 this morning or your wifi having no internet connection? || [C Tue Oct 17 07:07:41 +0000 2017] @VirginTrains Was only given outbound tickets (LON-MAN 7:20 service) and couldn't find return collection code. Asked her to look at receipt as she... || [C Tue Oct 17 07:08:27 +0000 2017] @VirginTrains Repeatedly said I hadn't booked return and refused to look. Told me to shut up and go away and refused me access to supervisor.... || [C Tue Oct 17 07:09:14 +0000 2017] @VirginTrains Finally got someone else who looked at the receipt and gave m tickets with 90 seconds. After paying nearly £200 I'm appalled by.... || [C Tue Oct 17 07:09:39 +0000 2017] @VirginTrains The absolute worst service I've ever received anywhere - and now you want me to pay for wifi despite advertising it for free!? ||,booking_ticket_issue;onboard_experience,onboard_experience,booking_ticket_issue,high,"[ADJUDICATED] Staff conduct + wifi; onboard primary, collection secondary.",none,adjudicated
G064,VT-112226-140913,112228,"@VirginTrains 1st train delayed now no Wi-Fi #veryfrustrating
London to Chester",,[C Thu Nov 23 20:41:22 +0000 2017] @VirginTrains Train Attendant has a wire in his hand but doest know where it goes!!!,delay_status;onboard_experience,delay_status,onboard_experience,medium,[ADJUDICATED] Reports delay and wifi failure; delay first and primary.,none,adjudicated
G065,VT-1506828-469723,1506830,@VirginTrains please can we have updates on services to KX from Edinburgh in lounge x,,[C Fri Nov 03 13:27:42 +0000 2017] @VirginTrains @120576 Yes I realised after many thanks x,onboard_experience,live_departure_info,,high,[ADJUDICATED] Service-updates ask; lounge is location context.,none,adjudicated
G066,VT-2181073-296878,2181076,Has anyone in the history of the known universe ever have @VirginTrains wifi work for a journey?,,"[C Thu Nov 09 17:22:53 +0000 2017] @VirginTrains Couldn’t even get to the payment screen this time. Pretty standard, given up now",onboard_experience,onboard_experience,,medium,"[ADJUDICATED] Rhetorical wifi complaint, concrete topic.",none,adjudicated
G067,VT-1898478-565807,1898483,TMW you're happy about having booked a seat with a plug &amp; table .... and then this .... @VirginTrains 😩 https://t.co/lJz4U59msN,,[C Wed Oct 18 12:55:12 +0000 2017] @VirginTrains there's no power. || [C Wed Oct 18 13:00:04 +0000 2017] @VirginTrains cheers will do if I see her. To be honest it means I have an excuse not to work 🤣🤣 so won't try too hard 😜,booking_ticket_issue,booking_ticket_issue,onboard_experience,medium,Seat-with-socket reservation not honored. Adjudicated: socket failure is a genuine second concrete issue.,none,adjudicated
G069,VT-833008-308373,833017,"@VirginTrains Good morning,  traveling to euston from Glasgow. Looking forward to it.",,"[C Fri Oct 13 07:12:48 +0000 2017] @VirginTrains Cheers. Do we get fed in 1st class? || [C Fri Oct 13 07:33:54 +0000 2017] @VirginTrains To euston from glasgow. 9:40 || [C Fri Oct 13 07:44:42 +0000 2017] @VirginTrains Superb. I'll have a roll with sausage,  bacon and egg and a latte please. 😉 || [C Fri Oct 13 21:08:57 +0000 2017] @VirginTrains Absolutely amazing journey. staff were so helpful and friendly. Bacon rolls were super tasty. Looking forward to journey back.",none,general_feedback,,medium,[ADJUDICATED] Greeting with no support need.,none,adjudicated
G070,VT-2249322-464382,2249325,@VirginTrains hi are any Manchester trains running out of euston?,,[C Fri Nov 10 20:32:54 +0000 2017] @VirginTrains Was the 19.40. When can we get home?,none,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G072,VT-158970-152551,158973,@VirginTrains anyway you can delay this train a bit more so I can make my connection? 😅😂 https://t.co/WtXlJIfQQF,,"[C Fri Nov 24 17:53:03 +0000 2017] @VirginTrains It’s not you guys who’ve delayed me, it’s Northern. They couldn’t organise a piss up in a brewery. So there’s no way you can delay the 17:53 to Edinburgh Waverley a little more so I can make it then?",delay_status,general_feedback,,medium,"[ADJUDICATED] Joke request to delay train; banter, no real need.",none,adjudicated
G073,VT-2726542-764612,2726545,@VirginTrains compliments to the wonderful team looking after us first class travellers on the 11.55am manchester to london. Tip top allround and unfazed by looking after Queens of the Stone Age! I love virgin trains 😆,,[C Mon Nov 20 13:23:39 +0000 2017] @VirginTrains They are karen and Damien -top pair have really enjoyed the journey because of them,none,general_feedback,,high,[ADJUDICATED] Genuine praise.,none,adjudicated
G074,VT-2857640-794217,2857644,Congrats @VirginTrains for the worst designed website in history. Keep up the good work.,,"[C Mon Nov 27 21:43:10 +0000 2017] @VirginTrains Just sent over an enquiry via the Customer Resolutions Centre. I've been speaking with various people from the web support team for the past week or so, hopefully can be sorted asap! || [C Mon Nov 27 21:47:34 +0000 2017] @VirginTrains Fingers crossed",none,general_feedback,,medium,"[ADJUDICATED] Sarcastic website complaint, no actionable ask.",none,adjudicated
G075,VT-1422325-450549,1422327,So annoyed the charging socket on  @VirginTrains isn’t working 🙄 @127472 not a happy bunny,,[C Mon Oct 16 18:00:51 +0000 2017] @VirginTrains @127472 18:20 Euston to Manchester || [C Mon Oct 16 18:09:29 +0000 2017] @VirginTrains @127472 The train is pretty busy and from what I can see everyone is using their plug sockets,none,onboard_experience,,high,"[ADJUDICATED] Charging socket failure, concrete.",none,adjudicated
G076,VT-1227496-311893,1227502,"@VirginTrains 19:23 EUS to BHI. Despite 1st class season ticket, now standing in 1st class. Gave up seat in coach G due to bad information.",,"[C Wed Oct 25 19:39:13 +0000 2017] @VirginTrains This is disgraceful treatment. I’ve paid you guys approx £15k so far this year. I don’t expect to stand. || [C Wed Oct 25 19:39:27 +0000 2017] @VirginTrains Why have the Traveler reserved seats been suspended ? || [C Wed Oct 25 19:41:08 +0000 2017] @VirginTrains Most folk on board have STD Off-Peak tickets, but they get better treatment.",none,onboard_experience,,medium,[ADJUDICATED] Standing despite 1st season ticket; seating comfort issue.,none,adjudicated
G077,VT-1696455-361761,1696457,@VirginTrains your staff charged me the wrong amount for ticket. Complaint sent 3 days ago and I have heard nothing from you!,,[C Tue Oct 17 17:23:17 +0000 2017] @VirginTrains 28 days to process a complaint and refund is shocking. Clearly you don’t care about your customers,none,refund_delay_repay,,high,[ADJUDICATED] Chasing unanswered overcharge complaint; money dispute.,none,adjudicated
G078,VT-1611333-494174,1611335,"My boy, like a kid at Christmas being told he'd see @306977 for 1st time. His face after @VirginTrains get involved... https://t.co/cFUjQThuay",,"[C Sun Nov 05 11:42:29 +0000 2017] @VirginTrains @306977 Yeah, because telling my 9 year-old son the words 'signalling', fault' and 'Milton Keynes' will cut it.",none,general_feedback,,low,"[ADJUDICATED] Ambiguous excitement post, no clear ask.",none,adjudicated
G079,VT-683386-263721,683390,".@120244 @VirginTrains @121428 we are coming from Telford, changing at Wolverhampton for Euston. What do you advise? #birminghamnewstreet",,[C Thu Nov 23 12:00:27 +0000 2017] @VirginTrains @120244 @121428 So are all services then up and running?,none,rebooking_alternative_route,,medium,[ADJUDICATED] Journey-advice ask at connection; disruption implied.,none,adjudicated
G080,VT-1184791-430241,1329601,@VirginTrains How do I complete my journey when there will be no connections from Edinburgh when I eventually get there?,[C Mon Nov 06 00:59:16 +0000 2017] @120576 @VirginTrains In Edinburgh and there is nobody to speak to we are stranded! || [C Mon Nov 06 01:05:44 +0000 2017] @120576 @VirginTrains Where || [C Mon Nov 06 01:15:06 +0000 2017] @120576 @VirginTrains THERE ARE NO TAXIS || [C Mon Nov 06 01:52:07 +0000 2017] @120576 @VirginTrains So there were no/not enough taxis. Can I claim back the premier inn I’ve just checked into?,[C Sun Nov 05 21:47:03 +0000 2017] @VirginTrains Thanks,none,rebooking_alternative_route,,high,[ADJUDICATED] Explicit how-to-complete-journey ask.,none,adjudicated
G081,VT-2167983-636152,2167985,@VirginTrains you have hit an all time low. This could even beat the @134627 troubles....I have just been served a bacon butty ....and you have no brown sauce.,,[C Thu Nov 09 11:31:04 +0000 2017] @VirginTrains @134627 It was either a chicken curry at 11am or the bacon butty. Beautiful cooked then I asked for sauce and they said sorry. @36835  wouldn't have this service. 1st class had sauce 😢 || [C Thu Nov 09 11:36:45 +0000 2017] @VirginTrains @134627 7.30am Edinburgh to London. It's not the girls fault. The buffet car had slim pickings ..it was like it had been raced in some apocalypse movie. Sauce must be high value. I'm back up on the 7pm...il steal some brown sauce from @GreggsOfficial or @402's @135530,none,onboard_experience,,medium,[ADJUDICATED] Concrete food complaint (humorous tone).,none,adjudicated
G082,VT-1624637-497584,1624642,Does anyone have any explanation for why the latest train on the west coast mainline is 8.20pm these days @VirginTrains,,[C Tue Oct 17 11:58:17 +0000 2017] @VirginTrains Manchester to Oxenholme or Penrith. But the latest train on every day now seems to be 8.20pm? || [C Tue Oct 17 12:09:09 +0000 2017] @VirginTrains Not that long ago...I make the journey often. Usually transpennine express but even your services finish early now,none,live_departure_info,,medium,[ADJUDICATED] Timetable question (why last train 8:20pm).,none,adjudicated
G083,VT-2879109-799437,2879137,"@VirginTrains A horse, the jockey and his whip.",,"[C Tue Nov 28 19:28:28 +0000 2017] @VirginTrains Good point. But, what if they was all on the same plate?",none,general_feedback,,low,"[ADJUDICATED] Nonsense/joke line, no content.",none,adjudicated
G084,VT-1142944-389023,1142946,@VirginTrains What's been the hold ups today on West Coast? Delayed 10/15mins South &amp; now 20 North?,,[C Tue Oct 24 12:58:01 +0000 2017] @VirginTrains Long enough to reclaim. Will get a form when I get back to Glasgow,delay_status,delay_status,,high,[ADJUDICATED] Explicit ask about hold-ups/delays today.,none,adjudicated
G085,VT-1620067-455307,1620069,Made it #WatfordFC #COYH https://t.co/J4RM77bXwU,,[C Sun Nov 05 16:19:13 +0000 2017] Although getting home might be a challenge @VirginTrains,none,general_feedback,,low,"[ADJUDICATED] Football banter + photo, no need.",none,adjudicated
G086,VT-1296461-116421,1296465,@VirginTrains Joel! I’m not very happy with VT today!,,[C Thu Oct 26 22:05:50 +0000 2017] @VirginTrains I purchased my ticket from the guy by the gateline. I asked for a 1st single but he should me a standard. I’m blind and can’t read the new … || [C Thu Oct 26 22:10:09 +0000 2017] @VirginTrains layout. I only knew that it was a standard ticket when it was rudely pointed out to me on the steward on @121428 MAN train! || [C Thu Oct 26 22:11:58 +0000 2017] @VirginTrains @121428 I didn’t get a drink and that was one of the reasons I asked for a first class ticket. He let me start in First. XC block me || [C Thu Oct 26 22:19:46 +0000 2017] @VirginTrains @121428 Gate. please don’t report me to BTP for fare dodging. I normally by my ticket the night before for I’m so tired and I’m in a lot of pain! || [C Thu Oct 26 22:34:48 +0000 2017] @VirginTrains @121428 I think it might easier to buy my tickets earlier next week. I don’t think it helped I went,none,general_feedback,,medium,"[ADJUDICATED] Pure vent, no specifics.",none,adjudicated
G087,VT-2416867-263976,2416869,@VirginTrains everything ok with the GLC-PRE route today?,,[C Sun Oct 29 09:49:18 +0000 2017] @VirginTrains Perfect! Thank you!🙌🏼,none,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G088,VT-1112027-382448,1112029,@VirginTrains 1238 GLC to EUS - what’s the deal?,,[C Sun Oct 15 10:57:54 +0000 2017] @VirginTrains Thanks for quick reply,none,live_departure_info,,medium,[ADJUDICATED] Terse status ask about specific service.,none,adjudicated
G089,VT-1290015-421684,1290018,"@VirginTrains What is wrong with your booking system 2 hours trying and when I get to payment, error message tried on 3 different devices!",,[C Thu Oct 26 20:21:58 +0000 2017] @VirginTrains  https://t.co/eJ68dqTN1g || [C Thu Oct 26 20:22:24 +0000 2017] @VirginTrains The tickets are showing as available,booking_ticket_issue,booking_ticket_issue,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G090,VT-1583462-482008,1583464,@VirginTrains Can I book a seat for tomorrow? I am on a later train today due to cancellations and won't be at a ticket office 24hrs before?,,[C Tue Oct 17 07:49:30 +0000 2017] @VirginTrains Thank you will DM.,booking_ticket_issue,booking_ticket_issue,,high,[ADJUDICATED] Seat-booking ask; cancellation background only.,none,adjudicated
G091,VT-589177-258827,589179,@VirginTrains We are in the 14.56 Bridgend to Paddington. When I booked via your website it didn’t give me reserved seats. All other legs of the journey we had seats allocated. Once getting on the train most seats are reserved and we have struggled to get seats and not together.,,[C Sun Dec 03 16:02:17 +0000 2017] @VirginTrains Is that supposed to be helpful??,booking_ticket_issue,booking_ticket_issue,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G092,VT-690133-284935,690159,@VirginTrains No help from customer services trying to correct virgin mistake on tickets.,,"[C Mon Oct 23 16:59:54 +0000 2017] @VirginTrains Wife booked advance tickets London -Chester but booking made from Manchester somehow. Just want tickets changed. Very unhelpful on phone || [C Mon Oct 23 17:04:14 +0000 2017] @VirginTrains 1/2 The booking was made from Chester but somehow got changed to Manchester through Virgin. We don't want to change the time/date, || [C Mon Oct 23 17:04:31 +0000 2017] @VirginTrains 2/2 just the starting station. || [C Mon Oct 23 17:11:51 +0000 2017] @VirginTrains So virgin are happy to take almost £90 from me from an error on your part? Absolutely disgraceful || [C Tue Oct 24 12:07:05 +0000 2017] @VirginTrains Thanks done this but can we join train at Crewe ? Surely Virgin don't insist on making us go to Manchester when the train stops at Crewe. || [C Tue Oct 24 12:13:17 +0000 2017] @VirginTrains So you are making us go to Manchester from Chester to ge",none,booking_ticket_issue,,medium,[ADJUDICATED] Ticket-correction problem + support failure.,none,adjudicated
G093,VT-1620982-497186,1621004,"@VirginTrains Hi, can you reserve me seats on a Euston to Manchester train this evening?
Was due to travel just before 5pm ..2 young kiddies with me.",,"[C Sun Nov 05 18:26:38 +0000 2017] @VirginTrains Hi, what time is next train?...traveling with a 3 year old .. can you ask a supervisor? Thanks",booking_ticket_issue,booking_ticket_issue,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G094,VT-1563038-229417,1563040,Got my favourite seat on my @VirginTrains but oh dear we have the loudest family on board speak normally don't shout!!!,,[C Sat Nov 04 10:19:55 +0000 2017] @VirginTrains They've just got those loud voices that carry and are oblivious to everyone else😁 hey ho soon be in London anyway. Glad it's warm on the 🚂,none,onboard_experience,,medium,"[ADJUDICATED] Noise complaint, concrete, no ask.",none,adjudicated
G095,VT-1707833-517540,1707837,Not sure if you're trying to recreate a festival vibe @VirginTrains but a 6 coach hike to find a working looking on 15.46 DUR to KGX has it,,[C Tue Oct 17 17:29:06 +0000 2017] @VirginTrains *loo*,none,onboard_experience,,medium,[ADJUDICATED] Toilet availability complaint ('working loo').,none,adjudicated
G096,VT-2605505-150820,2605510,@VirginTrains @100752 Do you have firemen on the Pensolini?,,[C Fri Nov 17 09:45:02 +0000 2017] @VirginTrains @100752 Those three phase motors must take a bit of stoking!,none,general_feedback,,low,"[ADJUDICATED] Joke question (firemen on Pendolino), no need.",none,adjudicated
G097,VT-2173864-637436,2173867,More excellent customer service from @virgintrains who took pity on a very frustrated passenger!,,[C Thu Nov 09 14:14:36 +0000 2017] @VirginTrains Today Train guard  11.46 Doncaster to KGX,none,general_feedback,,high,[ADJUDICATED] Praise.,none,adjudicated
G098,VT-2135979-548747,2135982,@VirginTrains could you tell me when the west Coast cheaper tickets go on sale for 27 Dec.  The ones before Xmas are already there.,[C Thu Oct 19 08:19:14 +0000 2017] @VirginTrains Where are the cheap tickets for the 27 Dec 😢,,none,booking_ticket_issue,,high,[ADJUDICATED] Asks when cheap tickets go on sale.,none,adjudicated
G099,VT-1283370-235241,1283372,@VirginTrains Im on the 17.50 New Street to Euston and the first class crew are FAB.  They are making my journey very relaxing and enjoyable,,"[C Thu Oct 26 18:09:15 +0000 2017] @VirginTrains pleasure, great customer focus and service  thanks to them too",none,general_feedback,,high,[ADJUDICATED] Crew praise.,none,adjudicated
G100,VT-1644037-502434,1644040,"@VirginTrains I appreciate the delays today are unavoidable, but when we left Euston the estimated arrival to Rigby was 40 minutes earlier-",,"[C Mon Nov 06 01:08:26 +0000 2017] @VirginTrains -than when we arrived with absolutely 0 explanation on the train as to why. It's 1am, I'm knackered and unhappy. || [C Mon Nov 06 01:09:48 +0000 2017] @VirginTrains Communication would be fab rather than just refreshing my phone to see the estimated arrival time constantly climbing.",delay_status,delay_status,,medium,[ADJUDICATED] ETA-discrepancy report; message ends mid-sentence.,none,adjudicated
G101,VT-1579377-486346,1579382,"So with a railcard my train ticket should've cost me £9.25, but because I forgot my railcard they charged me an extra £46.75 on top of that?",,"[C Sat Nov 04 18:57:55 +0000 2017] @VirginTrains how in the hell do you work that one out? || [C Sat Nov 04 19:06:46 +0000 2017] @VirginTrains The railcard takes off 1/3 of the price, which would've worked out at about an extra £4.50, not £46.",none,refund_delay_repay,,high,[ADJUDICATED] Penalty/extra-fare dispute over forgotten railcard.,none,adjudicated
G102,VT-1390117-443338,1390119,@VirginTrains Why do you allow reservations in coach F now? This carriage used to always be unreserved but now always has reservations,,[C Sat Oct 28 11:31:44 +0000 2017] @VirginTrains Does that apply to both the old style trains and new style trains? At all times? || [C Sat Oct 28 11:35:13 +0000 2017] @VirginTrains Why did they randomly make this change without communicating it? What is the reason for the change || [C Sat Oct 28 11:40:48 +0000 2017] @VirginTrains So now anytime ticket holders who pay a lot more need to squeeze onto one carriage? Please tell your management they're idiots. Thanks.,booking_ticket_issue,booking_ticket_issue,,medium,[ADJUDICATED] Seat-reservation policy question/complaint.,none,adjudicated
G103,VT-1534578-475898,1534582,. @VirginTrains you’ve got cockroaches on your train,,[C Fri Nov 03 23:50:09 +0000 2017] @VirginTrains  https://t.co/igoPUX6qX5 || [C Fri Nov 03 23:55:27 +0000 2017] @VirginTrains 9:45 from Wolverhampton to Euston,none,onboard_experience,,medium,[ADJUDICATED] Cleanliness report (cockroaches).,none,adjudicated
G104,VT-2798047-780703,2798049,@VirginTrains love the power walk to the quiet carriage only to sit across from a bloke with headphones on full blast #tired,,[C Tue Nov 21 23:11:21 +0000 2017] @VirginTrains Don’t worry I did the British thing of staring and he appears to have turned it down 😂 thanks,none,onboard_experience,,medium,"[ADJUDICATED] Noise complaint, no ask.",none,adjudicated
G105,VT-2347182-137506,2347185,@VirginTrains what do you think about how slow it is from Stoke-on-Trent to liverpool and cost,,[C Mon Nov 13 16:32:54 +0000 2017] @VirginTrains But only reson not is single line Radway green to crewe @115793 sed in email will  fix not ti 2038 so then you could run train London stoke crewe liverpool fast like Manchester stoke London || [C Mon Nov 13 16:34:38 +0000 2017] @VirginTrains @VirginTrains have you seen @1667 closest station to Stoke-on-Trent. You will be faster to london from Stoke-on-Trent || [C Mon Nov 13 16:35:30 +0000 2017] @VirginTrains @1667 Stone as it goes south west || [C Mon Nov 13 16:35:46 +0000 2017] @VirginTrains @1667 East no west,none,general_feedback,,medium,"[ADJUDICATED] Rhetorical speed/fare complaint, no actionable ask.",none,adjudicated
G106,VT-2137064-207339,2137066,Fantastic staff on the @VirginTrains 8.40pm from Euston to Manchester! :) #LivingLikeAKing,,"[C Wed Nov 08 21:47:06 +0000 2017] @VirginTrains Coach J (1st class) is bouncing all over the place though, very unsettling on the stomach! 🤢 No idea why, it was super-smooth on the way down. || [C Wed Nov 08 21:56:20 +0000 2017] @VirginTrains I imagine it's more mechanical than anything to do with the staff. :)",none,general_feedback,,high,[ADJUDICATED] Staff praise.,none,adjudicated
G107,VT-2945125-364534,2945127,@VirginTrains Why does coach U come between F and G? #seriousquestion https://t.co/ITBFMChyFi,,"[C Wed Nov 29 15:34:42 +0000 2017] @VirginTrains Great, thank you for ‘U’nveiling!",none,general_feedback,,low,Coach-lettering curiosity; no support need. General-info search: ~0.06% of eligible dyads; no new intent (see STEP_6).,none,adjudicated
G108,VT-2639950-745016,2639953,"@VirginTrains so I’m on a train just before rugby, apparently there’s a few trains ahead, and a train checking the tunnel... 

what’s he checking it for? A collapse? If he can fit? Light at the end?",,"[C Thu Nov 30 19:12:35 +0000 2017] @VirginTrains 18:30 eust -&gt; wolvo  Moving now, apparently it’s to check the track is working?  When does the track not work? It’s metal on the ground?",none,delay_status,,medium,[ADJUDICATED] Asks cause of hold-up; jokes aside.,none,adjudicated
G109,VT-1574639-132796,1574641,@VirginTrains Are you guys fighting,,[C Sat Nov 04 14:42:01 +0000 2017] @VirginTrains Clsssic. Let us know who wins! #excitement,none,general_feedback,,low,"[ADJUDICATED] Banter fragment, no content.",none,adjudicated
G110,VT-739511-346682,739515,@VirginTrains Does this mean there are likely to be cancellations? Currently at Euston going north later today.,,[C Wed Oct 11 12:32:28 +0000 2017] @VirginTrains Thanks! Will keep checking.,none,cancellation_status,,high,[ADJUDICATED] Asks about likely cancellations.,none,adjudicated
G111,VT-305832-189029,305834,"@VirginTrains Hi, I'm due at Euston Way earlier than expected. Is there any chance I can get an earlier train home with my later ticket?",,[C Sun Oct 15 10:48:14 +0000 2017] @VirginTrains Can I DM you?,none,ticket_acceptance,,high,[ADJUDICATED] Use later ticket on earlier train = validity ask.,none,adjudicated
G113,VT-1896569-565271,1896571,@virgintrains attendant said reason for bad selection was cost-cutting! How the might have fallen.,,[C Wed Oct 18 12:45:52 +0000 2017] @VirginTrains I'm hungry now and did not eat at Piccadilly because I was expecting a choice of food on the train || [C Wed Oct 18 12:50:59 +0000 2017] @VirginTrains Bacon sandwich which I don't eat. Had soup but no brown rolls so still very hungry and agitated. Had nuts as well || [C Wed Oct 18 12:53:49 +0000 2017] @VirginTrains thanks for the sorry but it does not solve problem. Still another 80 minutes to London || [C Wed Oct 18 13:03:24 +0000 2017] @VirginTrains how can they help? || [C Wed Oct 18 13:13:29 +0000 2017] @VirginTrains options were bacon or veg sausage sandwich or soup with white roll. Just had soup. Rubbish choices in my opinion || [C Wed Oct 18 13:24:19 +0000 2017] @VirginTrains future promises don't feed current needs! || [C Wed Oct 18 15:24:14 +0000 2017] @VirginTrains what is compensation for lack of adequate food on 1st class? || [,none,onboard_experience,,medium,"[ADJUDICATED] Food-selection complaint, concrete.",none,adjudicated
G114,VT-2878401-140066,2878406,@VirginTrains morning CB have you started your xmas shopping yet PA and HP have not done theres yet?,,[C Tue Nov 28 07:18:04 +0000 2017] @VirginTrains ok you are good then CB || [C Tue Nov 28 07:18:26 +0000 2017] @VirginTrains have you started yours yet MW || [C Tue Nov 28 07:22:22 +0000 2017] @VirginTrains good one PA and HP have not started theres yet,none,general_feedback,,low,"[ADJUDICATED] Social banter with agents, no need.",none,adjudicated
G115,VT-1240240-410916,1240246,@VirginTrains My boyfriend missed his EUS-SOT train tonight because of an evacuation at Euston due to a terror alert - why did... (1/2),,"[C Sun Oct 29 21:08:33 +0000 2017] @VirginTrains he have to buy a new ticket at almost £70 for another train? Seems very unfair! Can he claim the money back at all? (2/2) || [C Sun Oct 29 21:15:06 +0000 2017] @VirginTrains Yes - they made him pay for a new ticket, but we both think that was really unfair considering the situation. || [C Sun Oct 29 21:25:15 +0000 2017] @VirginTrains Okay, we will do that. Thanks for your help.",none,refund_delay_repay,rebooking_alternative_route,medium,[ADJUDICATED] Target truncated (1/2) but (2/2) completion in context asks 'Can he claim the money back?' after forced new ticket purchase. Explicit money ask wins; missed-train journey background secondary.,none,adjudicated
G116,VT-1007289-210084,1007290,@VirginTrains How are you today PA?,[C Sun Oct 22 19:55:29 +0000 2017] @VirginTrains  https://t.co/Hw3n3MAmOX,[C Sun Oct 22 20:01:26 +0000 2017] @VirginTrains I’ll have the pleasure of travelling with you on 31st.  So looking forward to it || [C Sun Oct 22 20:03:35 +0000 2017] @VirginTrains @145927 will be with me too,none,general_feedback,,low,"[ADJUDICATED] Greeting, no need.",none,adjudicated
G117,VT-688669-121762,688670,"@VirginTrains @284527 @120576 You've missed the East Coast seat sale, that ran from Monday to Wednesday with 50% off. Despite having the same name they're separate companies and have their sales at different times - see https://t.co/zpR5Ee025R  #BrandConfusion",,[C Thu Nov 23 15:28:04 +0000 2017] @284527 @VirginTrains @120576 The fact that the West Coast operator calls itself Virgin Trains causes a lot of confusion. Perhaps they need to run the sales at the same time so people don’t get misled. https://t.co/RnM4wJQKjp,none,general_feedback,,medium,"[ADJUDICATED] Sale-confusion commentary, no ask.",none,adjudicated
G118,VT-1333117-429528,1333119,"@VirginTrains Hi guys, how are things looking at Euston at the moment?",,"[C Fri Oct 27 13:20:41 +0000 2017] @VirginTrains Two of us need Liverpool Lime Street and one to Stockport. 😀 || [C Fri Oct 27 13:48:58 +0000 2017] @VirginTrains Thank you, anymore updates very much appreciated. || [C Fri Oct 27 15:07:57 +0000 2017] @VirginTrains Dear Virgin, we managed to catch the 1507 out of Euston, delayed, no problem but, yes, there is a but, no shop, explain, please explain?",none,live_departure_info,,high,[ADJUDICATED] Station status ask.,none,adjudicated
G119,VT-1506858-469731,1506860,Again @VirginTrains have made my day by cancelling train - then forcing 2 trains on one - 3rd time in a month I'll add - absolute jokers 😡😡😡,,[C Fri Nov 03 13:31:08 +0000 2017] @VirginTrains Leeds to London King X I was booked on 12:45 now left at 1:15 - my seat was double booked - It really is not good enough || [C Fri Nov 03 17:51:23 +0000 2017] @VirginTrains @120576 your friends at @120576 were very helpful ... 😑 👍  I especially liked the lack of response @VirginTrains,none,cancellation_status,,medium,"[ADJUDICATED] Sarcastic cancellation report, no ask.",none,adjudicated
G120,VT-1465607-460187,1465612,Not happy about having to stand from Ldn Euston to Birmingham on @VirginTrains makes you wonder what you pay extra for!,,"[C Fri Nov 03 19:05:20 +0000 2017] @VirginTrains no as I thought it did it automatically through the booking...when you book an exact train, I would expect that as standard. || [C Fri Nov 03 19:10:09 +0000 2017] @VirginTrains or maybe you could try not overbooking your trains to make money and focus of customer satisfaction?? || [C Fri Nov 03 19:11:29 +0000 2017] @VirginTrains  I wouldn't call this off peak would you? https://t.co/0ji8iYkal9",none,onboard_experience,,medium,"[ADJUDICATED] Standing complaint, concrete seating issue.",none,adjudicated
